Number 		 labels_org 		 labels_predicted
4		cause-effect((e1,e2))		cause-effect((e2,e1))
6		cause-effect((e1,e2))		cause-effect((e2,e1))
9		cause-effect((e1,e2))		cause-effect((e2,e1))
11		cause-effect((e2,e1))		cause-effect((e1,e2))
20		cause-effect((e1,e2))		cause-effect((e2,e1))
27		cause-effect((e1,e2))		cause-effect((e2,e1))
33		cause-effect((e1,e2))		cause-effect((e2,e1))
36		cause-effect((e1,e2))		cause-effect((e2,e1))
76		cause-effect((e2,e1))		cause-effect((e1,e2))
97		cause-effect((e2,e1))		cause-effect((e1,e2))
119		cause-effect((e2,e1))		cause-effect((e1,e2))
121		noncause		cause-effect((e2,e1))
125		cause-effect((e1,e2))		cause-effect((e2,e1))
158		cause-effect((e1,e2))		noncause
183		cause-effect((e1,e2))		cause-effect((e2,e1))
195		cause-effect((e1,e2))		cause-effect((e2,e1))
196		noncause		cause-effect((e2,e1))
225		cause-effect((e1,e2))		cause-effect((e2,e1))
293		cause-effect((e1,e2))		cause-effect((e2,e1))
297		cause-effect((e1,e2))		cause-effect((e2,e1))
308		cause-effect((e1,e2))		cause-effect((e2,e1))
356		cause-effect((e1,e2))		cause-effect((e2,e1))
371		cause-effect((e2,e1))		cause-effect((e1,e2))
373		cause-effect((e1,e2))		cause-effect((e2,e1))
374		cause-effect((e1,e2))		cause-effect((e2,e1))
377		cause-effect((e1,e2))		cause-effect((e2,e1))
380		cause-effect((e1,e2))		cause-effect((e2,e1))
383		cause-effect((e2,e1))		cause-effect((e1,e2))
393		cause-effect((e1,e2))		cause-effect((e2,e1))
398		cause-effect((e1,e2))		cause-effect((e2,e1))
407		cause-effect((e2,e1))		cause-effect((e1,e2))
423		cause-effect((e1,e2))		cause-effect((e2,e1))
428		cause-effect((e1,e2))		cause-effect((e2,e1))
434		cause-effect((e2,e1))		cause-effect((e1,e2))
457		cause-effect((e1,e2))		cause-effect((e2,e1))
468		cause-effect((e1,e2))		cause-effect((e2,e1))
471		cause-effect((e1,e2))		cause-effect((e2,e1))
476		cause-effect((e1,e2))		cause-effect((e2,e1))
479		cause-effect((e2,e1))		cause-effect((e1,e2))
481		cause-effect((e2,e1))		cause-effect((e1,e2))
482		cause-effect((e1,e2))		cause-effect((e2,e1))
496		cause-effect((e1,e2))		cause-effect((e2,e1))
517		cause-effect((e1,e2))		cause-effect((e2,e1))
518		cause-effect((e2,e1))		cause-effect((e1,e2))
522		cause-effect((e1,e2))		cause-effect((e2,e1))
527		cause-effect((e2,e1))		cause-effect((e1,e2))
539		cause-effect((e2,e1))		cause-effect((e1,e2))
542		cause-effect((e2,e1))		cause-effect((e1,e2))
543		cause-effect((e2,e1))		cause-effect((e1,e2))
546		cause-effect((e2,e1))		cause-effect((e1,e2))
570		cause-effect((e1,e2))		noncause
599		cause-effect((e1,e2))		cause-effect((e2,e1))
622		cause-effect((e1,e2))		cause-effect((e2,e1))
656		cause-effect((e1,e2))		cause-effect((e2,e1))
751		cause-effect((e2,e1))		cause-effect((e1,e2))
806		cause-effect((e2,e1))		cause-effect((e1,e2))
861		cause-effect((e1,e2))		cause-effect((e2,e1))
880		cause-effect((e2,e1))		cause-effect((e1,e2))
914		cause-effect((e2,e1))		cause-effect((e1,e2))
915		cause-effect((e2,e1))		cause-effect((e1,e2))
926		cause-effect((e1,e2))		cause-effect((e2,e1))
945		cause-effect((e2,e1))		cause-effect((e1,e2))
955		cause-effect((e1,e2))		cause-effect((e2,e1))
958		noncause		cause-effect((e2,e1))
960		noncause		cause-effect((e2,e1))
965		cause-effect((e2,e1))		cause-effect((e1,e2))
978		cause-effect((e1,e2))		cause-effect((e2,e1))
998		cause-effect((e2,e1))		cause-effect((e1,e2))
999		cause-effect((e1,e2))		cause-effect((e2,e1))
1001		cause-effect((e2,e1))		cause-effect((e1,e2))
1005		cause-effect((e2,e1))		cause-effect((e1,e2))
1007		cause-effect((e1,e2))		cause-effect((e2,e1))
1015		cause-effect((e2,e1))		cause-effect((e1,e2))
1023		cause-effect((e2,e1))		cause-effect((e1,e2))
1024		cause-effect((e2,e1))		cause-effect((e1,e2))
1027		cause-effect((e1,e2))		cause-effect((e2,e1))
1029		cause-effect((e1,e2))		cause-effect((e2,e1))
1049		cause-effect((e1,e2))		cause-effect((e2,e1))
1051		cause-effect((e1,e2))		cause-effect((e2,e1))
1057		cause-effect((e2,e1))		cause-effect((e1,e2))
1074		cause-effect((e1,e2))		cause-effect((e2,e1))
1088		cause-effect((e2,e1))		cause-effect((e1,e2))
1096		cause-effect((e2,e1))		cause-effect((e1,e2))
1101		cause-effect((e1,e2))		cause-effect((e2,e1))
1105		cause-effect((e2,e1))		cause-effect((e1,e2))
1109		cause-effect((e1,e2))		cause-effect((e2,e1))
1134		cause-effect((e2,e1))		cause-effect((e1,e2))
1143		cause-effect((e2,e1))		cause-effect((e1,e2))
1157		cause-effect((e2,e1))		cause-effect((e1,e2))
1196		cause-effect((e1,e2))		cause-effect((e2,e1))
1198		cause-effect((e2,e1))		cause-effect((e1,e2))
1200		cause-effect((e1,e2))		cause-effect((e2,e1))
1203		cause-effect((e2,e1))		cause-effect((e1,e2))
1213		cause-effect((e1,e2))		cause-effect((e2,e1))
1251		cause-effect((e1,e2))		cause-effect((e2,e1))
1252		cause-effect((e2,e1))		cause-effect((e1,e2))
1277		cause-effect((e2,e1))		cause-effect((e1,e2))
1279		cause-effect((e1,e2))		cause-effect((e2,e1))
1282		cause-effect((e1,e2))		cause-effect((e2,e1))
1286		cause-effect((e2,e1))		cause-effect((e1,e2))
1311		cause-effect((e1,e2))		cause-effect((e2,e1))
1353		cause-effect((e2,e1))		cause-effect((e1,e2))
1357		cause-effect((e2,e1))		cause-effect((e1,e2))
1365		cause-effect((e2,e1))		cause-effect((e1,e2))
1368		cause-effect((e2,e1))		cause-effect((e1,e2))
1382		cause-effect((e1,e2))		cause-effect((e2,e1))
1393		cause-effect((e1,e2))		cause-effect((e2,e1))
1412		cause-effect((e1,e2))		cause-effect((e2,e1))
1418		cause-effect((e1,e2))		cause-effect((e2,e1))
1434		cause-effect((e1,e2))		cause-effect((e2,e1))
1470		cause-effect((e2,e1))		cause-effect((e1,e2))
1487		cause-effect((e1,e2))		cause-effect((e2,e1))
1488		cause-effect((e1,e2))		cause-effect((e2,e1))
1493		cause-effect((e1,e2))		cause-effect((e2,e1))
1509		cause-effect((e2,e1))		cause-effect((e1,e2))
1515		cause-effect((e2,e1))		cause-effect((e1,e2))
1517		cause-effect((e1,e2))		cause-effect((e2,e1))
1521		cause-effect((e1,e2))		cause-effect((e2,e1))
1525		cause-effect((e1,e2))		cause-effect((e2,e1))
1541		cause-effect((e1,e2))		cause-effect((e2,e1))
1550		cause-effect((e2,e1))		cause-effect((e1,e2))
