Number 		 labels_org 		 labels_predicted
2		cause-effect((e1,e2))		cause-effect((e2,e1))
4		cause-effect((e1,e2))		cause-effect((e2,e1))
6		cause-effect((e1,e2))		cause-effect((e2,e1))
9		cause-effect((e1,e2))		noncause
20		cause-effect((e1,e2))		cause-effect((e2,e1))
27		cause-effect((e1,e2))		cause-effect((e2,e1))
33		cause-effect((e1,e2))		cause-effect((e2,e1))
36		cause-effect((e1,e2))		cause-effect((e2,e1))
76		cause-effect((e2,e1))		cause-effect((e1,e2))
97		cause-effect((e2,e1))		cause-effect((e1,e2))
119		cause-effect((e2,e1))		cause-effect((e1,e2))
121		noncause		cause-effect((e2,e1))
125		cause-effect((e1,e2))		cause-effect((e2,e1))
158		cause-effect((e1,e2))		noncause
183		cause-effect((e1,e2))		cause-effect((e2,e1))
195		cause-effect((e1,e2))		cause-effect((e2,e1))
224		cause-effect((e2,e1))		cause-effect((e1,e2))
225		cause-effect((e1,e2))		cause-effect((e2,e1))
274		cause-effect((e1,e2))		cause-effect((e2,e1))
293		cause-effect((e1,e2))		cause-effect((e2,e1))
308		cause-effect((e1,e2))		cause-effect((e2,e1))
356		cause-effect((e1,e2))		cause-effect((e2,e1))
371		cause-effect((e2,e1))		cause-effect((e1,e2))
380		cause-effect((e1,e2))		cause-effect((e2,e1))
383		cause-effect((e2,e1))		cause-effect((e1,e2))
398		cause-effect((e1,e2))		cause-effect((e2,e1))
407		cause-effect((e2,e1))		cause-effect((e1,e2))
428		cause-effect((e1,e2))		cause-effect((e2,e1))
448		cause-effect((e1,e2))		cause-effect((e2,e1))
457		cause-effect((e1,e2))		cause-effect((e2,e1))
468		cause-effect((e1,e2))		cause-effect((e2,e1))
471		cause-effect((e1,e2))		cause-effect((e2,e1))
476		cause-effect((e1,e2))		cause-effect((e2,e1))
478		cause-effect((e2,e1))		cause-effect((e1,e2))
479		cause-effect((e2,e1))		cause-effect((e1,e2))
482		cause-effect((e1,e2))		cause-effect((e2,e1))
496		cause-effect((e1,e2))		cause-effect((e2,e1))
504		cause-effect((e2,e1))		cause-effect((e1,e2))
518		cause-effect((e2,e1))		cause-effect((e1,e2))
521		cause-effect((e1,e2))		cause-effect((e2,e1))
522		cause-effect((e1,e2))		cause-effect((e2,e1))
524		cause-effect((e2,e1))		cause-effect((e1,e2))
527		cause-effect((e2,e1))		cause-effect((e1,e2))
539		cause-effect((e2,e1))		cause-effect((e1,e2))
542		cause-effect((e2,e1))		cause-effect((e1,e2))
546		cause-effect((e2,e1))		cause-effect((e1,e2))
570		cause-effect((e1,e2))		noncause
599		cause-effect((e1,e2))		cause-effect((e2,e1))
619		cause-effect((e2,e1))		cause-effect((e1,e2))
656		cause-effect((e1,e2))		cause-effect((e2,e1))
751		cause-effect((e2,e1))		cause-effect((e1,e2))
806		cause-effect((e2,e1))		cause-effect((e1,e2))
880		cause-effect((e2,e1))		cause-effect((e1,e2))
914		cause-effect((e2,e1))		cause-effect((e1,e2))
915		cause-effect((e2,e1))		cause-effect((e1,e2))
926		cause-effect((e1,e2))		cause-effect((e2,e1))
933		cause-effect((e2,e1))		cause-effect((e1,e2))
945		cause-effect((e2,e1))		cause-effect((e1,e2))
955		cause-effect((e1,e2))		cause-effect((e2,e1))
956		cause-effect((e1,e2))		cause-effect((e2,e1))
958		noncause		cause-effect((e2,e1))
960		noncause		cause-effect((e2,e1))
972		cause-effect((e2,e1))		cause-effect((e1,e2))
978		cause-effect((e1,e2))		cause-effect((e2,e1))
999		cause-effect((e1,e2))		cause-effect((e2,e1))
1001		cause-effect((e2,e1))		cause-effect((e1,e2))
1007		cause-effect((e1,e2))		cause-effect((e2,e1))
1015		cause-effect((e2,e1))		cause-effect((e1,e2))
1023		cause-effect((e2,e1))		cause-effect((e1,e2))
1024		cause-effect((e2,e1))		cause-effect((e1,e2))
1027		cause-effect((e1,e2))		cause-effect((e2,e1))
1029		cause-effect((e1,e2))		cause-effect((e2,e1))
1035		cause-effect((e1,e2))		cause-effect((e2,e1))
1049		cause-effect((e1,e2))		cause-effect((e2,e1))
1057		cause-effect((e2,e1))		cause-effect((e1,e2))
1074		cause-effect((e1,e2))		cause-effect((e2,e1))
1088		cause-effect((e2,e1))		cause-effect((e1,e2))
1096		cause-effect((e2,e1))		cause-effect((e1,e2))
1101		cause-effect((e1,e2))		cause-effect((e2,e1))
1105		cause-effect((e2,e1))		cause-effect((e1,e2))
1134		cause-effect((e2,e1))		cause-effect((e1,e2))
1143		cause-effect((e2,e1))		cause-effect((e1,e2))
1196		cause-effect((e1,e2))		cause-effect((e2,e1))
1198		cause-effect((e2,e1))		cause-effect((e1,e2))
1200		cause-effect((e1,e2))		cause-effect((e2,e1))
1213		cause-effect((e1,e2))		cause-effect((e2,e1))
1251		cause-effect((e1,e2))		cause-effect((e2,e1))
1252		cause-effect((e2,e1))		cause-effect((e1,e2))
1277		cause-effect((e2,e1))		cause-effect((e1,e2))
1279		cause-effect((e1,e2))		cause-effect((e2,e1))
1281		cause-effect((e1,e2))		cause-effect((e2,e1))
1282		cause-effect((e1,e2))		cause-effect((e2,e1))
1286		cause-effect((e2,e1))		cause-effect((e1,e2))
1353		cause-effect((e2,e1))		cause-effect((e1,e2))
1357		cause-effect((e2,e1))		cause-effect((e1,e2))
1365		cause-effect((e2,e1))		cause-effect((e1,e2))
1368		cause-effect((e2,e1))		cause-effect((e1,e2))
1373		cause-effect((e2,e1))		cause-effect((e1,e2))
1375		cause-effect((e2,e1))		cause-effect((e1,e2))
1382		cause-effect((e1,e2))		cause-effect((e2,e1))
1393		cause-effect((e1,e2))		cause-effect((e2,e1))
1412		cause-effect((e1,e2))		cause-effect((e2,e1))
1418		cause-effect((e1,e2))		cause-effect((e2,e1))
1438		cause-effect((e2,e1))		cause-effect((e1,e2))
1470		cause-effect((e2,e1))		cause-effect((e1,e2))
1487		cause-effect((e1,e2))		cause-effect((e2,e1))
1488		cause-effect((e1,e2))		cause-effect((e2,e1))
1493		cause-effect((e1,e2))		cause-effect((e2,e1))
1509		cause-effect((e2,e1))		cause-effect((e1,e2))
1515		cause-effect((e2,e1))		cause-effect((e1,e2))
1517		cause-effect((e1,e2))		cause-effect((e2,e1))
1525		cause-effect((e1,e2))		cause-effect((e2,e1))
1541		cause-effect((e1,e2))		cause-effect((e2,e1))
1550		cause-effect((e2,e1))		cause-effect((e1,e2))
1552		cause-effect((e2,e1))		cause-effect((e1,e2))
1560		cause-effect((e2,e1))		cause-effect((e1,e2))
1562		cause-effect((e2,e1))		cause-effect((e1,e2))
1566		cause-effect((e1,e2))		cause-effect((e2,e1))
1571		cause-effect((e2,e1))		cause-effect((e1,e2))
1573		cause-effect((e2,e1))		cause-effect((e1,e2))
1582		cause-effect((e2,e1))		cause-effect((e1,e2))
1591		cause-effect((e2,e1))		cause-effect((e1,e2))
1595		cause-effect((e2,e1))		cause-effect((e1,e2))
1597		cause-effect((e2,e1))		cause-effect((e1,e2))
1607		cause-effect((e2,e1))		cause-effect((e1,e2))
1609		cause-effect((e2,e1))		cause-effect((e1,e2))
1610		cause-effect((e2,e1))		cause-effect((e1,e2))
1621		cause-effect((e2,e1))		cause-effect((e1,e2))
1622		cause-effect((e2,e1))		cause-effect((e1,e2))
1630		cause-effect((e1,e2))		cause-effect((e2,e1))
1639		cause-effect((e1,e2))		cause-effect((e2,e1))
1645		cause-effect((e2,e1))		cause-effect((e1,e2))
1652		cause-effect((e2,e1))		cause-effect((e1,e2))
1668		cause-effect((e2,e1))		cause-effect((e1,e2))
1670		cause-effect((e2,e1))		cause-effect((e1,e2))
1673		cause-effect((e1,e2))		cause-effect((e2,e1))
1697		cause-effect((e1,e2))		cause-effect((e2,e1))
1725		cause-effect((e1,e2))		cause-effect((e2,e1))
1727		cause-effect((e1,e2))		cause-effect((e2,e1))
1751		cause-effect((e1,e2))		cause-effect((e2,e1))
1752		cause-effect((e2,e1))		cause-effect((e1,e2))
1770		cause-effect((e1,e2))		cause-effect((e2,e1))
1778		cause-effect((e1,e2))		cause-effect((e2,e1))
1819		cause-effect((e2,e1))		cause-effect((e1,e2))
1821		cause-effect((e1,e2))		cause-effect((e2,e1))
1822		cause-effect((e1,e2))		cause-effect((e2,e1))
1829		cause-effect((e2,e1))		cause-effect((e1,e2))
1841		cause-effect((e1,e2))		cause-effect((e2,e1))
1852		cause-effect((e1,e2))		cause-effect((e2,e1))
1858		cause-effect((e1,e2))		cause-effect((e2,e1))
1876		cause-effect((e1,e2))		cause-effect((e2,e1))
1912		cause-effect((e2,e1))		cause-effect((e1,e2))
1938		cause-effect((e1,e2))		cause-effect((e2,e1))
1943		cause-effect((e1,e2))		cause-effect((e2,e1))
1944		cause-effect((e2,e1))		cause-effect((e1,e2))
1946		cause-effect((e2,e1))		cause-effect((e1,e2))
1950		cause-effect((e2,e1))		cause-effect((e1,e2))
1952		cause-effect((e1,e2))		cause-effect((e2,e1))
1959		cause-effect((e2,e1))		cause-effect((e1,e2))
1976		cause-effect((e2,e1))		cause-effect((e1,e2))
1990		cause-effect((e1,e2))		cause-effect((e2,e1))
1997		cause-effect((e2,e1))		cause-effect((e1,e2))
2073		cause-effect((e2,e1))		cause-effect((e1,e2))
2084		cause-effect((e2,e1))		cause-effect((e1,e2))
2086		cause-effect((e1,e2))		cause-effect((e2,e1))
2131		cause-effect((e2,e1))		cause-effect((e1,e2))
2137		cause-effect((e1,e2))		cause-effect((e2,e1))
2147		cause-effect((e1,e2))		cause-effect((e2,e1))
2175		cause-effect((e1,e2))		cause-effect((e2,e1))
2178		cause-effect((e1,e2))		cause-effect((e2,e1))
2184		cause-effect((e1,e2))		cause-effect((e2,e1))
2197		cause-effect((e1,e2))		cause-effect((e2,e1))
2199		cause-effect((e1,e2))		cause-effect((e2,e1))
2240		cause-effect((e2,e1))		cause-effect((e1,e2))
2306		cause-effect((e1,e2))		cause-effect((e2,e1))
2335		cause-effect((e1,e2))		cause-effect((e2,e1))
2372		cause-effect((e1,e2))		cause-effect((e2,e1))
2383		cause-effect((e1,e2))		cause-effect((e2,e1))
2411		cause-effect((e1,e2))		cause-effect((e2,e1))
2431		cause-effect((e2,e1))		cause-effect((e1,e2))
2460		cause-effect((e2,e1))		cause-effect((e1,e2))
2504		cause-effect((e2,e1))		cause-effect((e1,e2))
2525		cause-effect((e2,e1))		cause-effect((e1,e2))
2533		cause-effect((e1,e2))		cause-effect((e2,e1))
2535		cause-effect((e2,e1))		cause-effect((e1,e2))
2540		cause-effect((e2,e1))		cause-effect((e1,e2))
2543		cause-effect((e2,e1))		cause-effect((e1,e2))
2544		cause-effect((e1,e2))		cause-effect((e2,e1))
2545		cause-effect((e2,e1))		cause-effect((e1,e2))
2546		cause-effect((e2,e1))		cause-effect((e1,e2))
2557		cause-effect((e2,e1))		cause-effect((e1,e2))
2562		cause-effect((e2,e1))		cause-effect((e1,e2))
2566		cause-effect((e1,e2))		cause-effect((e2,e1))
2571		cause-effect((e1,e2))		cause-effect((e2,e1))
2587		cause-effect((e2,e1))		cause-effect((e1,e2))
